#hg38.knownCanonical.chrom	hg38.knownCanonical.chromStart	hg38.knownCanonical.chromEnd	hg38.kgXref.kgID	hg38.kgXref.geneSymbol
chr1	11648366	11654682	uc001asj.4	FBXO2
chr1	11664123	11674354	uc001aso.4	FBXO6
chr1	184387057	184629020	uc001gqv.2	C1orf21
chr1	185157158	185291765	uc001grh.5	SWT1
chr1	11674479	11691650	uc001asq.5	MAD2L2
chr1	65264753	65415869	uc001dcd.3	DNAJC6
chr1	65420651	65641559	uc001dci.4	LEPR
chr1	185296387	185317329	uc001grl.4	IVNS1ABP
chr1	11919590	11926423	uc001atk.4	KIAA2013
chr1	11980180	12013514	uc009vni.4	MFN2
chr1	186296278	186314562	uc001gru.5	PRG4
chr1	12019465	12032045	uc001ato.3	MIIP
chr1	183472501	183554186	uc001gqg.4	SMG7
chr1	183555562	183590876	uc001gqk.5	NCF2
chr1	186443565	186461122	uc001gsa.5	PDC
chr1	66999331	67054099	uc001ddk.3	SLC35D1
chr1	186828952	186988981	uc001gsc.4	PLA2G4A
chr1	67685060	67688338	uc001ddz.3	GADD45A
chr1	12791396	12796628	uc031tpg.1	PRAMEF1
chr1	12774840	12777906	uc001aui.5	PRAMEF12
chr1	68125357	68232553	uc001def.3	WLS
chr1	13704854	13825079	uc001avi.3	PRDM2
chr1	192809040	192812283	uc001gsl.4	RGS2
chr1	68428821	68449959	uc001dei.2	RPE65
chr1	193060033	193085985	uc001gsv.3	TROVE2
chr1	114673097	114695586	uc001efe.3	AMPD1
chr1	193012249	193059496	uc001gsm.4	UCHL5
chr1	114567556	114581639	uc001efa.4	BCAS2
chr1	70205723	70253052	uc001des.4	SRSF11
chr1	70411271	70439570	uc001dfd.4	CTH
chr1	15572352	15585110	uc001awv.3	AGMAT
chr1	113979442	113982254	uc001eer.3	OLFML3
chr1	74235400	74544424	uc001dgf.3	TNNI3K
chr1	196774794	196794073	uc001gtl.4	CFHR3
chr1	15684331	15734769	uc010obo.2	PLEKHM2
chr1	74705489	74733408	uc001dgk.4	CRYZ
chr1	113697204	113759476	uc057jno.1	PHTF1
chr1	15941868	15976126	uc001axl.5	ZBTB17
chr1	116514534	116571039	uc001egm.4	CD58
chr1	35573369	35595328	uc010ohy.3	TFAP2E
chr1	116754384	116769228	uc001egu.5	CD2
chr1	117060302	117107453	uc001egy.4	TTF2
chr1	200027601	200177424	uc001gvb.5	NR5A2
chr1	200973806	201023700	uc001gvs.3	KIF21B
chr1	201134771	201171574	uc001gwa.5	TMEM9
chr1	36088874	36093932	uc001bzt.4	ADPRHL2
chr1	36156201	36180840	uc001bzz.5	MAP7D1
chr1	119031220	119140671	uc001ehn.4	WARS2
chr1	119368778	119394128	uc001ehq.1	HAO2
chr1	36323733	36329221	uc057eum.1	RP11-268J15.5
chr1	36417905	36450451	uc001caq.4	OSCP1
chr1	36455717	36464437	uc001cas.3	MRPS15
chr1	231332752	231337852	uc001huq.4	EXOC8
chr1	231241209	231277973	uc001hup.5	GNPAT
chr1	231528652	231566524	uc001huw.4	TSNAX
chr1	37681569	37690520	uc001cbp.3	C1orf109
chr1	38838197	38859823	uc001ccq.4	RRAGC
chr1	235367359	235448968	uc001hwz.2	TBCE
chr1	235975829	236065162	uc001hxo.4	NID1
chr1	236518272	236552981	uc001hxy.3	LGALS8
chr1	39659120	39672038	uc001cdq.1	NT5C1A
chr1	39678647	39691689	uc001cdr.5	HPCAL4
chr1	236795309	236903981	uc001hyi.5	MTR
chr1	39757181	39788861	uc001cdz.2	BMP8B
chr1	39897226	39901882	uc001ces.3	MYCL
chr1	232397964	232561558	uc001hvg.4	SIPA1L2
chr1	237877863	237890922	uc001hym.3	ZP4
chr1	40161372	40240921	uc001cfc.5	RLF
chr1	241532133	241595642	uc009xgp.4	KMO
chr1	40531560	40548169	uc001cft.2	ZNF684
chr1	40784011	40840452	uc001cgh.2	KCNQ4
chr1	40620678	40665657	uc001cfu.2	RIMS3
chr1	243501762	243850128	uc057qvr.1	AKT3
chr1	157121190	157138367	uc001fqr.3	ETV3
chr1	75724350	75763679	uc001dgw.6	ACADM
chr1	76867440	77065711	uc001dhi.4	ST6GALNAC5
chr1	160608099	160647295	uc001fwl.6	SLAMF1
chr1	160678745	160711851	uc001fwn.4	CD48
chr1	81306165	81992422	uc057hxa.1	ADGRL2
chr1	17066760	17119435	uc001baf.4	PADI2
chr1	17018721	17054170	uc001bae.5	SDHB
chr1	16974501	16978276	uc057csz.1	MFAP2
chr1	84479266	84497790	uc001djv.5	RPF1
chr1	202724490	202809470	uc001gyf.4	KDM5B
chr1	162561532	162599837	uc001gce.5	UAP1
chr1	17755312	17827063	uc001bat.3	ACTL8
chr1	84549605	84574464	uc001dka.3	CTBS
chr1	163069144	163076802	uc009wuy.4	RGS4
chr1	202891099	202927262	uc001gyo.2	KLHL12
chr1	18107745	18378482	uc001bau.3	IGSF21
chr1	84643706	84690545	uc001dkj.4	SSX2IP
chr1	85652807	85708418	uc001dlh.4	ZNHIT6
chr1	20111938	20119557	uc001bcz.5	PLA2G2D
chr1	205086141	205122015	uc001hbu.3	RBBP5
chr1	89006665	89022882	uc001dmt.4	GBP3
chr1	89052318	89065360	uc001dmx.3	GBP1
chr1	20642656	20652193	uc031tru.1	PINK1-AS
chr1	20664015	20718017	uc001bdr.6	KIF17
chr1	145607989	145670648	uc001eot.3	GPR89A
chr1	205504597	205531786	uc001hcr.4	CDK18
chr1	205767985	205775446	uc001hdf.5	RAB29
chr1	145719519	145739153	uc001eol.3	CD160
chr1	21219858	21290489	uc001bek.3	ECE1
chr1	23801884	23825459	uc001bib.4	HMGCL
chr1	23795598	23800804	uc001bhx.1	GALE
chr1	23557917	23559794	uc001bhh.5	ID3
chr1	207454229	207489895	uc001hfv.4	CR2
chr1	207752056	207795513	uc001hgj.4	CD46
chr1	150321475	150353195	uc001eum.5	PRPF3
chr1	150265405	150269303	uc001etz.3	APH1A
chr1	42746374	42767023	uc001chv.3	P3H1
chr1	42925374	42959173	uc001cik.3	SLC2A1
chr1	43164183	43172260	uc001cin.4	EBNA1BP2
chr1	43358954	43363203	uc001cix.4	CDC20
chr1	43337806	43352772	uc001ciw.4	MPL
chr1	43933319	43937239	uc001ckv.4	ARTN
chr1	43946938	43968022	uc001ckx.4	IPO13
chr1	43974647	43978294	uc001cld.4	ATP6V0B
chr1	43979201	43991170	uc001clg.4	B4GALT2
chr1	44221069	44355208	uc001clt.4	ERI3
chr1	44821932	44843063	uc010olf.3	PTCH2
chr1	45550542	45570049	uc001cod.4	AKR1A1
chr1	45511046	45521956	uc001cob.4	PRDX1
chr1	46040141	46133036	uc001cpc.5	PIK3R3
chr1	46175086	46185958	uc001cpd.4	TSPAN1
chr1	169367969	169396540	uc001gfy.4	BLZF1
chr1	169395046	169460669	uc009wvq.2	CCDC181
chr1	169463908	169486003	uc001gge.5	SLC19A2
chr1	46394264	46413845	uc001cpu.3	FAAH
chr1	46340176	46362191	uc001cpr.3	NSUN4
chr1	93149741	93180728	uc001dpn.4	TMED5
chr1	170935525	170998806	uc001ghg.4	MROH9
chr1	93345887	93369498	uc001dpu.4	DR1
chr1	94896950	94927278	uc001dqz.6	CNN3
chr1	171485555	171593511	uc010pmg.3	PRRC2C
chr1	94529224	94541800	uc001dqr.4	F3
chr1	94418454	94518663	uc001dqn.5	ABCD3
chr1	171700159	171742247	uc001ghx.3	VAMP4
chr1	100990062	101025772	uc001dts.4	DPH5
chr1	172659017	172666874	uc001gis.4	FASLG
chr1	96721821	96814793	uc001drq.4	PTBP2
chr1	173183734	173207313	uc001giw.4	TNFSF4
chr1	173477265	173488807	uc001giy.2	PRDX6
chr1	173824502	173858546	uc001gjh.3	DARS2
chr1	209686179	209734949	uc021pin.2	HSD11B1
chr1	209785690	209806044	uc001hhq.3	IRF6
chr1	209828006	209857565	uc001hhr.3	DIEXF
chr1	98890971	99004893	uc001dsb.4	PLPPR5
chr1	99263952	99309590	uc001dse.4	PLPPR4
chr1	173903808	173917378	uc001gjt.4	SERPINC1
chr1	24502896	24541040	uc001bjj.4	RCAN3
chr1	25222678	25232493	uc001bjt.2	SYF2
chr1	25242236	25247519	uc001bjw.4	RSRP1
chr1	99969788	100023453	uc001dsp.3	SLC35A3
chr1	211259432	211314019	uc010psw.3	RCOR3
chr1	25900594	25906991	uc001blc.4	STMN1
chr1	25819905	25832941	uc001bkq.5	MTFR1L
chr1	25617467	25786207	uc001bkm.3	MAN1C1
chr1	211662771	211675618	uc001hir.3	NEK2
chr1	26529766	26575025	uc001bmr.2	RPS6KA1
chr1	26432354	26471294	uc001bmk.4	DHDDS
chr1	212432886	212446379	uc001hjd.3	NENF
chr1	212736955	212791782	uc001hjn.4	NSL1
chr1	213987934	214041502	uc057pjq.1	PROX1
chr1	26696032	26782104	uc001bmv.2	ARID1A
chr1	214603194	214664588	uc001hkm.4	CENPF
chr1	27891523	27914743	uc001bpe.3	RPA2
chr1	27830777	27851676	uc001bov.3	PPP1R8
chr1	27773182	27824452	uc001bou.4	STX12
chr1	220748333	220784815	uc001hmq.4	MARC2
chr1	48222686	48248644	uc001crn.3	SLC5A9
chr1	51617108	51788469	uc001cst.5	OSBPL9
chr1	52020130	52056171	uc001cti.5	TXNDC12
chr1	200551499	200620734	uc010ppk.2	KIF14
chr1	201359008	201373254	uc057ohe.1	TNNT2
chr1	200644038	200669969	uc009wzk.4	DDX59
chr1	200739557	200860704	uc001gvk.4	CAMSAP2
chr1	161766293	161964070	uc001gbs.4	ATF6
chr1	150268199	150280916	uc057kns.1	C1orf54
chr1	150257158	150265078	uc001etx.5	CA14
chr1	70260587	70354722	uc001dex.5	ANKRD13C
chr1	66534281	66748299	uc001dcr.4	SGIP1
chr1	113905140	113914086	uc001eeg.4	DCLRE1B
chr1	115700006	115768781	uc001efx.5	CASQ2
chr1	101802573	101997030	uc001dug.4	OLFM3
chr1	220148292	220272454	uc057pnr.1	RAB3GAP2
chr1	230837118	230868653	uc001hub.4	C1orf198
chr1	231162969	231217024	uc009xfn.2	TRIM67
chr1	236549004	236604504	uc001hyd.3	HEATR1
chr1	36466042	36483278	uc001caw.3	CSF3R
chr1	175067857	175148066	uc001gkl.1	TNN
chr1	175012957	175023425	uc001gkk.4	MRPS14
chr1	173799849	173824174	uc001gjf.5	CENPL
chr1	173039959	173050963	uc001giu.3	TNFSF18
chr1	177929145	177969915	uc001gli.2	SEC16B
chr1	170532128	170553446	uc001gha.3	GORAB
chr1	28602849	28643066	uc001bqy.5	TAF12
chr1	11857463	11858931	uc001atj.4	NPPB
chr1	11273205	11288434	uc001asg.4	UBIAD1
chr1	11012399	11026420	uc001art.4	TARDBP
chr1	12063376	12144207	uc001atq.3	TNFRSF8
chr1	12857085	12861909	uc001aum.1	PRAMEF2
chr1	52895983	52921767	uc001cup.5	ECHDC2
chr1	182450145	182560558	uc009wxw.5	RGSL1
chr1	180230285	180278982	uc001goe.3	LHX4
chr1	185045363	185102608	uc001grc.2	RNF2
chr1	185118097	185156981	uc001grf.5	TRMT1L
chr1	147907955	147909257	uc057kfk.1	GJA8
chr1	244652934	244709033	uc001iao.4	DESI2
chr1	31727194	31757259	uc010ogq.3	ADGRB2
chr1	31617699	31627318	uc001btd.3	HCRTR1
chr1	31296994	31364936	uc001bsp.3	ZCCHC17
chr1	31365624	31373076	uc001bss.2	FABP3
chr1	32013828	32043882	uc001bub.5	KHDRBS1
chr1	32072901	32102861	uc010ogv.3	TMEM39B
chr1	145964702	145978848	uc001enp.1	POLR3GL
chr1	32894594	32901358	uc001bwi.2	TMEM54
chr1	33472644	33496507	uc001bxj.5	ZSCAN20
chr1	33513998	34165274	uc001bxm.2	CSMD2
chr1	32886434	32894646	uc001bwh.4	HPCA
chr1	110947184	110964079	uc001eaa.4	LRIF1
chr1	111483347	111503488	uc001ebf.4	TMIGD3
chr1	108929507	108963457	uc021ora.2	CLCC1
chr1	108875349	108934545	uc010ovc.3	GPSM2
chr1	203340627	203351489	uc001gzr.5	FMOD
chr1	203083131	203086036	uc001gzd.5	MYOG
chr1	203765175	203776117	uc001haa.4	LAX1
chr1	160289272	160343400	uc009wti.4	COPA
chr1	160830159	160862855	uc001fxa.4	CD244
chr1	160796157	160828261	uc001fwu.5	LY9
chr1	92832024	92841924	uc001doz.4	RPL5
chr1	86350093	86396280	uc001dlm.3	ODF2L
chr1	78303883	78539749	uc057hvr.1	PTGFR
chr1	100133162	100150497	uc001dsv.4	TRMT13
chr1	100148448	100178273	uc057iqj.1	LRRC39
chr1	95234154	95247225	uc009wdu.3	RWDD3
chr1	90915301	91022255	uc001dnw.4	ZNF644
chr1	93179918	93278477	uc057iix.1	CCDC18
chr1	92298964	92402056	uc001dot.3	RPAP2
chr1	50960744	50974633	uc057gkh.1	CDKN2C
chr1	51236270	51273455	uc001csi.5	RNF11
chr1	46632736	46668454	uc001cqh.5	ATPAF1
chr1	47250138	47314147	uc001cre.1	STIL
chr1	211743456	211830772	uc001hiv.3	LPGAT1
chr1	212686417	212699985	uc001hjl.3	BATF3
chr1	209675419	209676388	uc001hhi.5	G0S2
chr1	207053259	207077823	uc001hfg.4	PFKFB2
chr1	207104261	207144972	uc001hfo.3	C4BPA
chr1	207088841	207099993	uc057oyu.1	C4BPB
chr1	155610224	155614967	uc001fky.5	MSTO1
chr1	156404262	156429392	uc001fou.2	C1orf61
chr1	62784134	62865513	uc001dat.5	ATG4C
chr1	23309785	23344322	uc057dey.1	HNRNPR
chr1	23359447	23369442	uc001bgu.4	ZNF436
chr1	35601583	35641844	uc001bzf.4	PSMB2
chr1	35931077	36072500	uc001bzp.4	AGO3
chr1	45012146	45015575	uc001cna.3	UROD
chr1	43707546	43931159	uc001ckc.5	ST3GAL3
chr1	44653246	44674555	uc001cmc.4	TMEM53
chr1	45002539	45011329	uc009vxk.4	HECTD3
chr1	28200277	28233025	uc001bpn.4	DNAJC8
chr1	27534034	27603591	uc057dvu.1	AHDC1
chr1	27666063	27672178	uc001bon.2	IFI6
