#chrom	chromStart	chromEnd	clusterId	transcript	protein
chr1	111200770	111243439	899	uc057jho.1	ENSG00000064886.13
chr1	109548610	109618321	911	uc001dxz.4	ENSG00000065135.8
chr1	117929767	117966542	914	uc010oxe.2	ENSG00000065183.15
chr1	88684221	88836255	915	uc001dmn.4	ENSG00000065243.18
chr1	15847863	15940460	930	uc001axk.2	ENSG00000065526.10
chr1	212363930	212414895	934	uc001hjc.5	ENSG00000065600.12
chr1	42682426	42702349	951	uc001chs.4	ENSG00000065978.17
chr1	212285536	212361863	953	uc001hjb.3	ENSG00000066027.11
chr1	43300992	43323108	956	uc001ciu.4	ENSG00000066056.13
chr1	43650157	43705515	959	uc001cjx.4	ENSG00000066135.12
chr1	40691708	40771603	960	uc009vwd.5	ENSG00000066136.19
chr1	42430328	42456267	961	uc001chj.4	ENSG00000066185.12
chr1	197084127	197146694	964	uc001gtu.4	ENSG00000066279.16
chr1	160541097	160579473	965	uc001fwf.5	ENSG00000066294.14
chr1	43363396	43368018	966	uc001cjb.5	ENSG00000066322.12
chr1	70144804	70205620	975	uc001der.3	ENSG00000066557.5
chr1	92508695	92792404	1001	uc001dox.3	ENSG00000067208.14
chr1	93866282	93879206	1005	uc001dqf.4	ENSG00000067334.13
chr1	218285286	218337983	1009	uc001hlj.3	ENSG00000067533.5
chr1	2050469	2185395	1012	uc001aiq.3	ENSG00000067606.15
chr1	220094101	220148041	1014	uc001hmc.4	ENSG00000067704.9
chr1	229440259	229508341	1065	uc001htn.4	ENSG00000069248.11
chr1	205712818	205750276	1066	uc001hdb.4	ENSG00000069275.12
chr1	5992362	6101193	1070	uc009vlv.3	ENSG00000069424.14
chr1	91680344	91886279	1078	uc001doh.4	ENSG00000069702.10
chr1	92167051	92184723	1079	uc010otd.2	ENSG00000069712.10
chr1	6415231	6419919	1081	uc001amx.4	ENSG00000069812.11
chr1	45343882	45491166	1125	uc001cns.2	ENSG00000070759.16
chr1	44850777	44986610	1129	uc001cmt.4	ENSG00000070785.16
chr1	22052626	22092923	1132	uc057ddl.1	ENSG00000070831.15
chr1	22563563	22603594	1134	uc001bfx.2	ENSG00000070886.10
chr1	161663160	161678654	1197	uc001gaz.3	ENSG00000072694.19
chr1	157830913	157841798	1236	uc001frk.5	ENSG00000073754.5
chr1	186671790	186680427	1237	uc001gsb.4	ENSG00000073756.11
chr1	8861001	8878690	1272	uc001apj.3	ENSG00000074800.13
chr1	17539834	17697869	1277	uc001ban.4	ENSG00000074964.16
chr1	20806469	21050994	1285	uc057daj.1	ENSG00000075151.20
chr1	178094140	178473422	1300	uc001glq.4	ENSG00000075391.16
chr1	169921325	170074695	1326	uc001ggv.4	ENSG00000075945.12
chr1	171314233	171342084	1336	uc001gho.4	ENSG00000076258.9
chr1	173714983	173786702	1337	uc001gjc.5	ENSG00000076321.10
chr1	208022241	208244320	1340	uc001hgz.4	ENSG00000076356.6
chr1	21596220	21669306	1354	uc001bex.4	ENSG00000076864.19
chr1	202331656	202341980	1367	uc001gxx.5	ENSG00000077152.9
chr1	202348698	202592706	1368	uc001gya.3	ENSG00000077157.21
chr1	77695986	77759852	1372	uc001dhu.5	ENSG00000077254.14
chr1	236686507	236764631	1386	uc001hyf.4	ENSG00000077522.12
chr1	19339529	19485477	1387	uc001bce.5	ENSG00000077549.17
chr1	236142531	236208909	1388	uc001hxq.3	ENSG00000077585.13
chr1	1785284	1891117	1417	uc031tmu.1	ENSG00000078369.17
chr1	51789190	51878805	1426	uc001ctc.5	ENSG00000078618.19
chr1	1216930	1232031	1435	uc001adi.5	ENSG00000078808.16
chr1	3652519	3736201	1438	uc001akp.4	ENSG00000078900.14
chr1	46557417	46604214	1451	uc001cqb.5	ENSG00000079277.19
chr1	100352490	100499460	1455	uc001dtf.3	ENSG00000079335.18
chr1	63593275	63660245	1469	uc001dbh.5	ENSG00000079739.15
chr1	196943780	196959226	1509	uc001gtq.2	ENSG00000080910.11
chr1	113761831	113812476	1512	uc001edq.4	ENSG00000081019.13
chr1	113390971	113685923	1513	uc001edj.4	ENSG00000081026.18
chr1	198639039	198757283	1525	uc001gur.3	ENSG00000081237.18
chr1	201039513	201112566	1526	uc001gvv.4	ENSG00000081248.10
chr1	201283451	201332993	1527	uc001gwe.3	ENSG00000081277.11
chr1	227731223	227735283	1534	uc057qak.1	ENSG00000081692.12
chr1	161749769	161757162	1535	uc001gbo.4	ENSG00000081721.11
chr1	53921560	53945929	1543	uc001cwh.4	ENSG00000081870.11
chr1	67307363	67396900	1546	uc001ddu.3	ENSG00000081985.10
chr1	215083123	215235217	1563	uc001hkr.5	ENSG00000082482.13
chr1	210232798	210246255	1564	uc001hhy.4	ENSG00000082497.11
chr1	211326614	211374940	1565	uc001hih.4	ENSG00000082512.14
chr1	11934752	11975537	1587	uc001atm.4	ENSG00000083444.16
chr1	40373696	40423326	1611	uc001cfj.4	ENSG00000084070.11
chr1	39738881	39753707	1612	uc001cds.3	ENSG00000084072.16
chr1	40258106	40294184	1613	uc001cfg.5	ENSG00000084073.8
chr1	32222369	32231604	1624	uc009vuc.4	ENSG00000084623.11
chr1	31179744	31239554	1625	uc010ogd.3	ENSG00000084628.9
chr1	31652246	31704319	1626	uc001btk.2	ENSG00000084636.17
chr1	32179685	32198285	1627	uc001bui.4	ENSG00000084652.15
chr1	108970213	109042113	1650	uc001dwi.4	ENSG00000085433.15
chr1	111414313	111427777	1652	uc001eba.4	ENSG00000085465.12
chr1	108134035	108200358	1653	uc001dvn.6	ENSG00000085491.15
chr1	159927038	159945596	1656	uc001fur.2	ENSG00000085552.16
chr1	51287257	51322210	1666	uc001csl.4	ENSG00000085831.15
chr1	51354262	51519328	1667	uc001csq.2	ENSG00000085832.16
chr1	52372828	52404459	1668	uc001ctt.4	ENSG00000085840.12
chr1	46188682	46198443	1673	uc001cpe.4	ENSG00000085998.13
chr1	46247694	46278473	1674	uc009vye.2	ENSG00000085999.11
chr1	45803612	46036124	1675	uc001cov.3	ENSG00000086015.20
chr1	236215554	236281985	1696	uc001hxt.4	ENSG00000086619.13
chr1	63367589	63438562	1753	uc021oof.1	ENSG00000088035.15
chr1	23428562	23484178	1760	uc001bha.3	ENSG00000088280.18
chr1	27098814	27154910	1854	uc001bnm.5	ENSG00000090020.10
chr1	192575726	192580031	1859	uc001gsi.2	ENSG00000090104.11
chr1	26921725	26946862	1863	uc001bng.3	ENSG00000090273.13
chr1	20499447	20508161	1870	uc001bdi.5	ENSG00000090432.6
chr1	39560815	39576751	1884	uc001cdm.3	ENSG00000090621.13
chr1	21678578	21783606	1888	uc001bfb.4	ENSG00000090686.15
chr1	241497602	241519761	1921	uc001hyx.4	ENSG00000091483.6
chr1	118883045	118989556	1971	uc001ehl.2	ENSG00000092607.13
chr1	119711886	119744215	1972	uc001ehz.4	ENSG00000092621.11
chr1	35883208	35930528	1976	uc001bzl.5	ENSG00000092847.11
chr1	36084074	36088275	1977	uc001bzr.3	ENSG00000092850.11
chr1	35736404	35769928	1978	uc001bzi.4	ENSG00000092853.13
chr1	218346234	218444619	1983	uc001hlm.4	ENSG00000092969.11
chr1	217426991	217631082	1984	uc001hlf.2	ENSG00000092978.10
chr1	171185207	171211230	2004	uc057ngi.1	ENSG00000094963.13
chr1	172533216	172611831	2005	uc001giq.6	ENSG00000094975.13
chr1	6264272	6385813	2068	uc001ams.4	ENSG00000097021.19
chr1	86704575	86748184	2069	uc001dlw.4	ENSG00000097033.14
chr1	91500892	91525764	2070	uc001doe.4	ENSG00000097046.12
chr1	85156872	85201046	2071	uc009wcm.4	ENSG00000097096.8
chr1	99645942	99694541	2080	uc001dsg.4	ENSG00000099260.10
chr1	1335275	1349350	3398	uc002quu.4	ENSG00000107404.17
chr1	147541411	147626216	4513	uc031uul.2	ENSG00000116128.9
chr1	170663905	170739419	4514	uc001ghf.4	ENSG00000116132.11
chr1	54849632	54887218	4515	uc001cyc.2	ENSG00000116133.11
chr1	15526812	15571733	4516	uc001aws.4	ENSG00000116138.12
chr1	220528556	220662458	4517	uc001hmn.6	ENSG00000116141.15
chr1	175315193	175743770	4518	uc009wwu.2	ENSG00000116147.16
chr1	2321252	2391707	4519	uc001ajb.2	ENSG00000116151.13
chr1	52602371	52609051	4520	uc001cue.4	ENSG00000116157.5
chr1	174999732	175011710	4521	uc001gkj.2	ENSG00000116161.17
chr1	52927228	53051703	4522	uc001cur.3	ENSG00000116171.16
chr1	176463170	176845605	4524	uc001gkz.4	ENSG00000116183.10
chr1	178725164	178920103	4525	uc001glz.5	ENSG00000116191.17
chr1	178849704	178871052	4526	uc001gma.4	ENSG00000116194.12
chr1	3812080	3857199	4527	uc001aky.3	ENSG00000116198.12
chr1	179025895	179076562	4528	uc001gmc.4	ENSG00000116199.11
chr1	54053600	54106082	4529	uc001cwt.2	ENSG00000116205.10
chr1	54026680	54053438	4530	uc001cwp.4	ENSG00000116209.11
chr1	53946076	53968168	4531	uc001cwk.3	ENSG00000116212.14
chr1	3630766	3650073	4532	uc001ako.4	ENSG00000116213.15
chr1	179550538	179575933	4533	uc001gmq.5	ENSG00000116218.12
chr1	54200166	54218383	4534	uc001cxa.4	ENSG00000116221.15
chr1	6221192	6235940	4535	uc001amk.4	ENSG00000116237.15
chr1	6185019	6199612	4536	uc001amd.4	ENSG00000116251.9
chr1	6101792	6180123	4537	uc001amb.3	ENSG00000116254.17
chr1	180154833	180204030	4538	uc001gnz.4	ENSG00000116260.16
chr1	108746687	108809526	4539	uc001dvy.4	ENSG00000116266.10
chr1	6613684	6624033	4540	uc001aob.5	ENSG00000116273.5
chr1	8011718	8026308	4541	uc001aoz.4	ENSG00000116285.12
chr1	7954290	7985052	4542	uc057byc.1	ENSG00000116288.12
chr1	109114000	109203229	4543	uc021orb.2	ENSG00000116299.16
chr1	28812141	28871267	4544	uc001brf.2	ENSG00000116329.10
chr1	109620653	109632051	4545	uc001dyc.3	ENSG00000116337.15
chr1	29147742	29181987	4546	uc001bro.4	ENSG00000116350.16
chr1	29193816	29230932	4547	uc001brq.3	ENSG00000116353.15
chr1	110211472	110249124	4548	uc001dzh.4	ENSG00000116396.13
chr1	184690230	184754913	4549	uc010pok.3	ENSG00000116406.18
chr1	111439889	111449376	4550	uc001ebb.4	ENSG00000116455.13
chr1	111448935	111462773	4551	uc001ebc.4	ENSG00000116459.10
chr1	111542217	111713113	4552	uc001ebi.4	ENSG00000116473.14
chr1	32292085	32333635	4553	uc001bvb.2	ENSG00000116478.11
chr1	112619172	112671619	4554	uc001ecj.2	ENSG00000116489.12
chr1	32817554	32858879	4555	uc001bwc.5	ENSG00000116497.17
chr1	32936444	32964685	4556	uc010oho.3	ENSG00000116514.16
chr1	155255978	155262259	4557	uc001fjs.4	ENSG00000116521.10
chr1	33145401	33181666	4558	uc001bxb.4	ENSG00000116525.13
chr1	155336054	155562532	4559	uc001fkt.4	ENSG00000116539.10
chr1	34865435	34929585	4560	uc057equ.1	ENSG00000116544.11
chr1	35182931	35193148	4561	uc001bys.4	ENSG00000116560.10
chr1	228735076	228746669	4562	uc001htf.3	ENSG00000116574.5
chr1	155749716	155859400	4563	uc057lsu.1	ENSG00000116580.18
chr1	155946850	155978160	4564	uc001fmr.3	ENSG00000116584.17
chr1	156054751	156058510	4565	uc001fnb.4	ENSG00000116586.11
chr1	156463726	156500828	4566	uc001fpc.5	ENSG00000116604.17
chr1	62455012	62688264	4567	uc001dap.6	ENSG00000116641.16
chr1	11054588	11060024	4568	uc001arz.2	ENSG00000116649.9
chr1	63547081	63550636	4569	uc001dbg.2	ENSG00000116652.6
chr1	11648366	11654682	4570	uc001asj.4	ENSG00000116661.9
chr1	11664123	11674354	4571	uc001aso.4	ENSG00000116663.10
chr1	184387057	184629020	4572	uc001gqv.2	ENSG00000116667.12
chr1	185157158	185291765	4573	uc001grh.5	ENSG00000116668.12
chr1	11674479	11691650	4574	uc001asq.5	ENSG00000116670.14
chr1	65264753	65415869	4575	uc001dcd.3	ENSG00000116675.15
chr1	65420651	65641559	4576	uc001dci.4	ENSG00000116678.18
chr1	185296387	185317329	4577	uc001grl.4	ENSG00000116679.15
chr1	11919590	11926423	4578	uc001atk.4	ENSG00000116685.15
chr1	11980180	12013514	4579	uc009vni.4	ENSG00000116688.16
chr1	186296278	186314562	4580	uc001gru.5	ENSG00000116690.12
chr1	12019465	12032045	4581	uc001ato.3	ENSG00000116691.10
chr1	183472501	183554186	4582	uc001gqg.4	ENSG00000116698.20
chr1	183555562	183590876	4583	uc001gqk.5	ENSG00000116701.14
chr1	186443565	186461122	4584	uc001gsa.5	ENSG00000116703.13
chr1	66999331	67054099	4585	uc001ddk.3	ENSG00000116704.7
chr1	186828952	186988981	4586	uc001gsc.4	ENSG00000116711.9
chr1	67685060	67688338	4587	uc001ddz.3	ENSG00000116717.11
chr1	12791396	12796628	4588	uc031tpg.1	ENSG00000116721.9
chr1	12774840	12777906	4589	uc001aui.5	ENSG00000116726.4
chr1	68125357	68232553	4590	uc001def.3	ENSG00000116729.13
chr1	13704854	13825079	4591	uc001avi.3	ENSG00000116731.22
chr1	192809040	192812283	4592	uc001gsl.4	ENSG00000116741.7
chr1	68428821	68449959	4593	uc001dei.2	ENSG00000116745.6
chr1	193060033	193085985	4594	uc001gsv.3	ENSG00000116747.12
chr1	114673097	114695586	4595	uc001efe.3	ENSG00000116748.19
chr1	193012249	193059496	4596	uc001gsm.4	ENSG00000116750.13
chr1	114567556	114581639	4597	uc001efa.4	ENSG00000116752.5
chr1	70205723	70253052	4598	uc001des.4	ENSG00000116754.13
chr1	70411271	70439570	4599	uc001dfd.4	ENSG00000116761.11
chr1	15572352	15585110	4600	uc001awv.3	ENSG00000116771.5
chr1	113979442	113982254	4601	uc001eer.3	ENSG00000116774.11
chr1	74235400	74544424	4602	uc001dgf.3	ENSG00000116783.14
chr1	196774794	196794073	4603	uc001gtl.4	ENSG00000116785.13
chr1	15684331	15734769	4604	uc010obo.2	ENSG00000116786.11
chr1	74705489	74733408	4605	uc001dgk.4	ENSG00000116791.13
chr1	113697204	113759476	4606	uc057jno.1	ENSG00000116793.15
chr1	15941868	15976126	4607	uc001axl.5	ENSG00000116809.11
chr1	116514534	116571039	4608	uc001egm.4	ENSG00000116815.15
chr1	35573369	35595328	4609	uc010ohy.3	ENSG00000116819.6
chr1	116754384	116769228	4610	uc001egu.5	ENSG00000116824.4
chr1	117060302	117107453	4611	uc001egy.4	ENSG00000116830.11
chr1	200027601	200177424	4612	uc001gvb.5	ENSG00000116833.13
chr1	200973806	201023700	4613	uc001gvs.3	ENSG00000116852.14
chr1	201134771	201171574	4614	uc001gwa.5	ENSG00000116857.16
chr1	36088874	36093932	4615	uc001bzt.4	ENSG00000116863.10
chr1	36156201	36180840	4616	uc001bzz.5	ENSG00000116871.15
chr1	119031220	119140671	4617	uc001ehn.4	ENSG00000116874.11
chr1	119368778	119394128	4618	uc001ehq.1	ENSG00000116882.14
chr1	36323733	36329221	4619	uc057eum.1	ENSG00000116883.8
chr1	36417905	36450451	4620	uc001caq.4	ENSG00000116885.18
chr1	36455717	36464437	4621	uc001cas.3	ENSG00000116898.11
chr1	231332752	231337852	4622	uc001huq.4	ENSG00000116903.7
chr1	231241209	231277973	4623	uc001hup.5	ENSG00000116906.11
chr1	231528652	231566524	4624	uc001huw.4	ENSG00000116918.13
chr1	37681569	37690520	4625	uc001cbp.3	ENSG00000116922.14
chr1	38838197	38859823	4626	uc001ccq.4	ENSG00000116954.7
chr1	235367359	235448968	4627	uc001hwz.2	ENSG00000116957.12
chr1	235975829	236065162	4628	uc001hxo.4	ENSG00000116962.14
chr1	236518272	236552981	4629	uc001hxy.3	ENSG00000116977.18
chr1	39659120	39672038	4630	uc001cdq.1	ENSG00000116981.3
chr1	39678647	39691689	4631	uc001cdr.5	ENSG00000116983.12
chr1	236795309	236903981	4632	uc001hyi.5	ENSG00000116984.12
chr1	39757181	39788861	4633	uc001cdz.2	ENSG00000116985.10
chr1	39897226	39901882	4634	uc001ces.3	ENSG00000116990.10
chr1	232397964	232561558	4635	uc001hvg.4	ENSG00000116991.10
chr1	237877863	237890922	4636	uc001hym.3	ENSG00000116996.9
chr1	40161372	40240921	4637	uc001cfc.5	ENSG00000117000.8
chr1	241532133	241595642	4638	uc009xgp.4	ENSG00000117009.11
chr1	40531560	40548169	4639	uc001cft.2	ENSG00000117010.15
chr1	40784011	40840452	4640	uc001cgh.2	ENSG00000117013.14
chr1	40620678	40665657	4641	uc001cfu.2	ENSG00000117016.9
chr1	243501762	243850128	4642	uc057qvr.1	ENSG00000117020.16
chr1	157121190	157138367	4643	uc001fqr.3	ENSG00000117036.11
chr1	75724350	75763679	4644	uc001dgw.6	ENSG00000117054.13
chr1	76867440	77065711	4645	uc001dhi.4	ENSG00000117069.14
chr1	160608099	160647295	4646	uc001fwl.6	ENSG00000117090.14
chr1	160678745	160711851	4647	uc001fwn.4	ENSG00000117091.9
chr1	81306165	81992422	4648	uc057hxa.1	ENSG00000117114.19
chr1	17066760	17119435	4649	uc001baf.4	ENSG00000117115.12
chr1	17018721	17054170	4650	uc001bae.5	ENSG00000117118.9
chr1	16974501	16978276	4651	uc057csz.1	ENSG00000117122.13
chr1	84479266	84497790	4652	uc001djv.5	ENSG00000117133.10
chr1	202724490	202809470	4653	uc001gyf.4	ENSG00000117139.16
chr1	162561532	162599837	4654	uc001gce.5	ENSG00000117143.13
chr1	17755312	17827063	4655	uc001bat.3	ENSG00000117148.7
chr1	84549605	84574464	4656	uc001dka.3	ENSG00000117151.12
chr1	163069144	163076802	4657	uc009wuy.4	ENSG00000117152.13
chr1	202891099	202927262	4658	uc001gyo.2	ENSG00000117153.15
chr1	18107745	18378482	4659	uc001bau.3	ENSG00000117154.11
chr1	84643706	84690545	4660	uc001dkj.4	ENSG00000117155.16
chr1	85652807	85708418	4661	uc001dlh.4	ENSG00000117174.10
chr1	20111938	20119557	4662	uc001bcz.5	ENSG00000117215.14
chr1	205086141	205122015	4663	uc001hbu.3	ENSG00000117222.13
chr1	89006665	89022882	4664	uc001dmt.4	ENSG00000117226.11
chr1	89052318	89065360	4665	uc001dmx.3	ENSG00000117228.9
chr1	20642656	20652193	4666	uc031tru.1	ENSG00000117242.7
chr1	20664015	20718017	4667	uc001bdr.6	ENSG00000117245.12
chr1	145607989	145670648	4668	uc001eot.3	ENSG00000117262.18
chr1	205504597	205531786	4669	uc001hcr.4	ENSG00000117266.15
chr1	205767985	205775446	4670	uc001hdf.5	ENSG00000117280.12
chr1	145719519	145739153	4671	uc001eol.3	ENSG00000117281.15
chr1	21219858	21290489	4672	uc001bek.3	ENSG00000117298.14
chr1	23801884	23825459	4673	uc001bib.4	ENSG00000117305.14
chr1	23795598	23800804	4674	uc001bhx.1	ENSG00000117308.14
chr1	23557917	23559794	4675	uc001bhh.5	ENSG00000117318.8
chr1	207454229	207489895	4676	uc001hfv.4	ENSG00000117322.16
chr1	207752056	207795513	4677	uc001hgj.4	ENSG00000117335.18
chr1	150321475	150353195	4678	uc001eum.5	ENSG00000117360.12
chr1	150265405	150269303	4679	uc001etz.3	ENSG00000117362.12
chr1	42746374	42767023	4680	uc001chv.3	ENSG00000117385.15
chr1	42925374	42959173	4681	uc001cik.3	ENSG00000117394.19
chr1	43164183	43172260	4682	uc001cin.4	ENSG00000117395.10
chr1	43358954	43363203	4683	uc001cix.4	ENSG00000117399.13
chr1	43337806	43352772	4684	uc001ciw.4	ENSG00000117400.14
chr1	43933319	43937239	4685	uc001ckv.4	ENSG00000117407.16
chr1	43946938	43968022	4686	uc001ckx.4	ENSG00000117408.10
chr1	43974647	43978294	4687	uc001cld.4	ENSG00000117410.13
chr1	43979201	43991170	4688	uc001clg.4	ENSG00000117411.16
chr1	44221069	44355208	4689	uc001clt.4	ENSG00000117419.14
chr1	44821932	44843063	4690	uc010olf.3	ENSG00000117425.13
chr1	45550542	45570049	4691	uc001cod.4	ENSG00000117448.13
chr1	45511046	45521956	4692	uc001cob.4	ENSG00000117450.13
chr1	46040141	46133036	4693	uc001cpc.5	ENSG00000117461.14
chr1	46175086	46185958	4694	uc001cpd.4	ENSG00000117472.9
chr1	169367969	169396540	4695	uc001gfy.4	ENSG00000117475.13
chr1	169395046	169460669	4696	uc009wvq.2	ENSG00000117477.12
chr1	169463908	169486003	4697	uc001gge.5	ENSG00000117479.12
chr1	46394264	46413845	4698	uc001cpu.3	ENSG00000117480.15
chr1	46340176	46362191	4699	uc001cpr.3	ENSG00000117481.10
chr1	93149741	93180728	4700	uc001dpn.4	ENSG00000117500.12
chr1	170935525	170998806	4701	uc001ghg.4	ENSG00000117501.14
chr1	93345887	93369498	4702	uc001dpu.4	ENSG00000117505.12
chr1	94896950	94927278	4703	uc001dqz.6	ENSG00000117519.15
chr1	171485555	171593511	4704	uc010pmg.3	ENSG00000117523.15
chr1	94529224	94541800	4705	uc001dqr.4	ENSG00000117525.13
chr1	94418454	94518663	4706	uc001dqn.5	ENSG00000117528.11
chr1	171700159	171742247	4707	uc001ghx.3	ENSG00000117533.14
chr1	100990062	101025772	4708	uc001dts.4	ENSG00000117543.19
chr1	172659017	172666874	4709	uc001gis.4	ENSG00000117560.7
chr1	96721821	96814793	4710	uc001drq.4	ENSG00000117569.18
chr1	173183734	173207313	4711	uc001giw.4	ENSG00000117586.10
chr1	173477265	173488807	4712	uc001giy.2	ENSG00000117592.8
chr1	173824502	173858546	4713	uc001gjh.3	ENSG00000117593.9
chr1	209686179	209734949	4714	uc021pin.2	ENSG00000117594.9
chr1	209785690	209806044	4715	uc001hhq.3	ENSG00000117595.10
